Evaluation,FEN
0.2,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0.2,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
0.4,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
0.3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2
0.2,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
0.2,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3
0.3,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4
0.3,r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 5 4
0.4,r1bqkb1r/ppp2ppp/2n2n2/3pp1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq - 0 5
0.2,r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 5
0.9,r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq - 0 6
0.4,r1bqkb1r/ppp2Npp/2n5/3np3/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 6
0.4,r1bq1b1r/ppp2kpp/2n5/3np3/2B5/8/PPPP1PPP/RNBQK2R w KQ - 0 7
0.6,r1bq1b1r/ppp2kpp/2n5/3np3/2B5/5Q2/PPPP1PPP/RNB1K2R b KQ - 1 7
100,r1bq1bkr/ppp3pp/2n5/3np3/2B5/5Q2/PPPP1PPP/RNB1K2R w KQ - 2 8
100,r1bq1bkr/ppp3pp/2n5/3Bp3/8/5Q2/PPPP1PPP/RNB1K2R b KQ - 0 8
100,r2q1bkr/ppp3pp/2n1b3/3Bp3/8/5Q2/PPPP1PPP/RNB1K2R w KQ - 1 9
100,r2q1bkr/ppp3pp/2n1B3/4p3/8/5Q2/PPPP1PPP/RNB1K2R b KQ - 0 9
-0.1,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1
0,rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2
-0.4,rnbqkbnr/ppp1pppp/8/3p4/5P2/4P3/PPPP2PP/RNBQKBNR b KQkq - 0 2
-0.2,rnbqkbnr/ppp2ppp/4p3/3p4/5P2/4P3/PPPP2PP/RNBQKBNR w KQkq - 0 3
-0.3,rnbqkbnr/ppp2ppp/4p3/3p4/5P2/4P3/PPPPB1PP/RNBQK1NR b KQkq - 1 3
0.3,rnb1kbnr/ppp2ppp/4p3/3p4/5P1q/4P3/PPPPB1PP/RNBQK1NR w KQkq - 2 4
0.4,rnb1kbnr/ppp2ppp/4p3/3p4/5P1q/4P1P1/PPPPB2P/RNBQK1NR b KQkq - 0 4
13.1,rnb1kbnr/ppp3pp/4pp2/3p4/5P1q/4P1P1/PPPPB2P/RNBQK1NR w KQkq - 0 5
1.2,rnb1kbnr/ppp3pp/4pp2/3p4/5P1q/4PNP1/PPPPB2P/RNBQK2R b KQkq - 1 5
12.5,rnb1kbnr/ppp3pp/4pp2/3p4/5P2/4PNq1/PPPPB2P/RNBQK2R w KQkq - 0 6
-2.4,rnb1kbnr/ppp3pp/4pp2/3p4/5P2/4PNq1/PPPPB2P/RNBQ1K1R b kq - 1 6
-2.4,rnb1kbnr/ppp3pp/4pp2/3p4/5P2/4PN1q/PPPPB2P/RNBQ1K1R w kq - 2 7
-2.4,rnb1kbnr/ppp3pp/4pp2/3p4/5P2/4PN1q/PPPPBK1P/RNBQ3R b kq - 3 7
-2.5,r1b1kbnr/ppp3pp/2n1pp2/3p4/5P2/4PN1q/PPPPBK1P/RNBQ3R w kq - 4 8
-4.9,r1b1kbnr/ppp3pp/2n1pp2/3p4/5P2/4PN1q/PPPPBK1P/RNBQR3 b kq - 5 8
-4.6,r1b1kbnr/ppp3pp/2n2p2/3pp3/5P2/4PN1q/PPPPBK1P/RNBQR3 w kq - 0 9
-6.5,r1b1kbnr/ppp3pp/2n2p2/3pP3/8/4PN1q/PPPPBK1P/RNBQR3 b kq - 0 9
-6.9,r1b1kbnr/ppp3pp/2n5/3pp3/8/4PN1q/PPPPBK1P/RNBQR3 w kq - 0 10
-9.1,r1b1kbnr/ppp3pp/2n5/3pp3/8/2P1PN1q/PP1PBK1P/RNBQR3 b kq - 0 10
-9.8,r1b1kbnr/ppp3pp/2n5/3p4/4p3/2P1PN1q/PP1PBK1P/RNBQR3 w kq - 0 11
-100,r1b1kbnr/ppp3pp/2n5/3p4/3Np3/2P1P2q/PP1PBK1P/RNBQR3 b kq - 1 11
-100,r1b1kbnr/ppp3pp/2n5/3p4/3Np3/2P1P3/PP1PBK1q/RNBQR3 w kq - 0 12
-100,r1b1kbnr/ppp3pp/2n5/3p4/3Np3/2P1P3/PP1PB2q/RNBQRK2 b kq - 1 12
